Applicable,Task Name,Priority,Time,Parent Task,Notes
X,P0 All Devices,P0,0,,Parent task for all P0 tests
X,Wake-up time from suspend,P0,15,P0 All Devices,Measure time from suspend to active
X,Boot time,P0,20,P0 All Devices,Cold boot to home screen
X,Page turn performance,P0,15,P0 All Devices,Average page turn time
X,P1 Performance Tests,P1,0,,Parent task for P1 tests
X,Search performance,P1,20,P1 Performance Tests,Search response time
X,Dictionary lookup time,P1,15,P1 Performance Tests,Dictionary popup time
X,Highlight creation,P1,10,P1 Performance Tests,Time to create highlight
,Optional task (not applicable),P2,15,,This task will be skipped
X,Menu navigation speed,P1,10,P1 Performance Tests,Menu response time
